number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,101 to 200,"414,210",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.4
1 to 50,101 to 200,"369,993",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.6
51 to 100,1 to 50,"30,876",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,Bakery,No,3.8
1 to 50,51 to 100,"320,538",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.2
1 to 50, , , , ,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.1
1 to 50,101 to 200,"172,066",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,3.6
1 to 50,101 to 200,"282,400",200001 to 500000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,PanShop / Juice Corner / Canteen,No,3.9
1 to 50,1 to 50,"303,353",200001 to 500000,9001 to 12000,100k - 300k,Owned,409 - 544,4 to 8,More than 5000,0,Wholesale,No,4.9
1 to 50,301 to 400,"556,433",500001 to 1000000,6001 to 9000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,5.3
101 to 200,1 to 50,"28,963",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,Bakery,No,3.6
1 to 50,51 to 100,"346,061",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,4.8
1 to 50,51 to 100,"322,876",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.4
1 to 50,1 to 50,"9,030",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,Less than 2000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.6
1 to 50,1 to 50,"126,977",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,Less than 2000,0,Bakery,No,4
1 to 50,51 to 100,"278,843",200001 to 500000,6001 to 9000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Bakery,No,4.6
1 to 50,201 to 300,"504,768",200001 to 500000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,Less than 2000,5001 to 10000,Kiryana,No,3.5
1 to 50,1 to 50,"3,234",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.6
1 to 50,1 to 50,"52,332",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,15001 to 20000,Kiryana,No,3
51 to 100,1 to 50,"4,800",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,101 to 200,"516,206",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.6
1 to 50,51 to 100,"249,880",1 to 200000,6001 to 9000,100k - 300k,Owned,409 - 544,4 to 8,2000 - 5000,0,Kiryana,No,4.3
51 to 100,101 to 200,"1,036,096",500001 to 1000000,20000+,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.8
51 to 100,1 to 50,"57,225",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,3.8
1 to 50,51 to 100,"114,821",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Bakery,No,4.1
1 to 50,201 to 300,"308,432",200001 to 500000,3001 to 6000,100k - 300k,Owned,409 - 544,4 to 8,2000 - 5000,0,General Store,No,4.4
1 to 50,51 to 100,"259,545",1 to 200000,6001 to 9000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,4.4
1 to 50,101 to 200,"262,870",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Bakery,No,4
1 to 50,101 to 200,"312,262",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4
1 to 50,201 to 300,"787,532",500001 to 1000000,6001 to 9000,Less than 100k,Rented,272 - 408,4 to 8,More than 5000,20000 to 25000,General Store,No,3.8
1 to 50,1 to 50,"969,506",500001 to 1000000,20000+,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,5.1
1 to 50,1 to 50,"180,512",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.2
1 to 50,101 to 200,"537,097",500001 to 1000000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5
1 to 50,1 to 50,"6,474",1 to 200000,1 to 3000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.5
1 to 50,51 to 100,"204,896",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.9
1 to 50,51 to 100,"94,800",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"6,185",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
101 to 200,51 to 100,"55,138",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.1
1 to 50,1 to 50,"27,054",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,Super Store,No,3.7
51 to 100,1 to 50,"6,143",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.7
51 to 100,201 to 300,"670,839",500001 to 1000000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.9
1 to 50,1 to 50,"582,178",500001 to 1000000,20000+,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,5.4
1 to 50,1 to 50,"9,949",1 to 200000,1 to 3000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.2
51 to 100,501 to 1000,"1,829,827",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,5.9
1 to 50,1 to 50,"21,181",1 to 200000,1 to 3000, , , , , , , ,No,0.7
1 to 50,501 to 1000,"1,187,664",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Kiryana,No,5.9
1 to 50,101 to 200,"1,419,401",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.7
1 to 50,301 to 400,"603,758",500001 to 1000000,20000+,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,15001 to 20000,General Store,No,5.1
1 to 50,51 to 100,"81,569",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,3.4
1 to 50,301 to 400,"366,660",200001 to 500000,3001 to 6000,Less than 100k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,3.9
101 to 200,101 to 200,"244,083",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.7
101 to 200,51 to 100,"478,699",200001 to 500000,9001 to 12000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,5
51 to 100,1 to 50,"41,278",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.9
1 to 50,51 to 100,"254,847",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,4.3
1 to 50,1 to 50,"14,676",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.9
1 to 50,1 to 50,"19,980",1 to 200000,12001 to 20000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.6
51 to 100,501 to 1000,"3,895,916",2000001 to 3000000,12001 to 20000,100k - 300k ,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,5.6
1 to 50,501 to 1000,"1,889,574",1000001 to 2000000,9001 to 12000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,General Store,No,4.9
101 to 200,201 to 300,"275,704",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.4
51 to 100,1 to 50,"19,813",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,5001 to 10000,General Store,No,3.1
1 to 50,1 to 50,"116,327",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.7
 ,51 to 100,"175,711",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,Kiryana,No,3.6
1 to 50,201 to 300,"346,039",200001 to 500000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3.6
1 to 50,1 to 50,"224,486",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,4.7
1 to 50,201 to 300,"691,749",500001 to 1000000,6001 to 9000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,10001 to 15000,Kiryana,No,4.2
1 to 50,101 to 200,"675,278",500001 to 1000000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,2000 - 5000,0,Wholesale,No,4.9
1 to 50,1 to 50,"6,509",1 to 200000,6001 to 9000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,15001 to 20000,Bakery,No,3.2
51 to 100, , , , ,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.5
101 to 200,1 to 50,"6,590",1 to 200000,3001 to 6000, , , , , , , ,No,1.2
1 to 50,51 to 100,"194,140",1 to 200000,3001 to 6000,100k - 300k,Rented,409 - 544,4 to 8,More than 5000,1 to 5000,Kiryana,No,3.5
1 to 50,101 to 200,"363,905",200001 to 500000,6001 to 9000,100k - 300k ,Rented,272 - 408,4 to 8,More than 5000,10001 to 15000,General Store,No,3.2
1 to 50,1 to 50,"18,993",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Super Store,No,3.3
101 to 200,1 to 50,"44,819",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,4.2
1 to 50,201 to 300,"805,422",500001 to 1000000,9001 to 12000,100k - 300k,Owned,409 - 544,4 to 8,More than 5000,0,General Store,No,5.5
1 to 50,201 to 300,"503,898",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.2
51 to 100,1 to 50,"17,177",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Kiryana,No,4
101 to 200,1 to 50,"102,735",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4
1 to 50,51 to 100,"54,671",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.9
51 to 100,201 to 300,"727,951",500001 to 1000000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.8
1 to 50,1 to 50,"5,052",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.8
1 to 50,101 to 200,"282,854",200001 to 500000,12001 to 20000,100k - 300k ,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.3
1 to 50,201 to 300,"198,251",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.9
101 to 200,501 to 1000,"837,589",500001 to 1000000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.6
1 to 50,201 to 300,"188,225",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,2000 - 5000,0,Bakery,No,3.5
1 to 50,101 to 200,"296,382",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,4
1 to 50,1 to 50,"18,602",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,2000 - 5000,5001 to 10000,General Store,No,2.6
1 to 50,1 to 50,"13,498",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3
1 to 50,1 to 50,"25,681",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4
1 to 50,201 to 300,"1,052,425",1000001 to 2000000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,5.4
1 to 50,1 to 50,"86,257",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,Less than 2000,0,Kiryana,No,3.6
1 to 50,101 to 200,"169,247",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.2
1 to 50,1 to 50,"179,104",1 to 200000,20000+,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.8
1 to 50,51 to 100,"87,737",1 to 200000,3001 to 6000, , , , , , , ,No,0.9
101 to 200,1 to 50,"6,610",1 to 200000,3001 to 6000, , , , , , , ,No,1.2
51 to 100,51 to 100,"216,336",1 to 200000,3001 to 6000,100k - 300k,Rented,409 - 544,4 to 8,More than 5000,10001 to 15000,Super Store,No,3.5
1 to 50,1 to 50,"9,471",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.8
1 to 50,101 to 200,"236,607",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,4
1 to 50,51 to 100,"93,815",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Kiryana,No,3.9
51 to 100,51 to 100,"146,407",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,1 to 5000,Kiryana,No,3.3
1 to 50,501 to 1000,"1,115,871",1000001 to 2000000,6001 to 9000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,15001 to 20000,PanShop / Juice Corner / Canteen,No,4.4
1 to 50,301 to 400,"883,517",500001 to 1000000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.2
1 to 50,1 to 50,"36,191",1 to 200000,9001 to 12000,100k - 300k,Owned,409 - 544,4 to 8,More than 5000,0,General Store,No,4.5
1 to 50,1 to 50,"14,520",1 to 200000,3001 to 6000,100k - 300k,Rented,545+,4 to 8,More than 5000,25000+,Super Store,No,3.1
1 to 50,1 to 50,"15,033",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,501 to 1000,"586,244",500001 to 1000000,3001 to 6000,100k - 300k,Owned,409 - 544,4 to 8,More than 5000,0,Super Store,No,4.7
1 to 50,1 to 50,"315,669",200001 to 500000,20000+,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,5.1
51 to 100,1 to 50,"16,633",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,51 to 100,"109,622",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,1 to 5000,Super Store,No,3.4
1 to 50,1 to 50,"71,640",1 to 200000,6001 to 9000,100k - 300k,Rented,545+,4 to 8,2000 - 5000,25000+,Kiryana,No,3.3
51 to 100,51 to 100,"172,967",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,4 to 8,Less than 2000,0,General Store,No,3.6
51 to 100,1 to 50,"32,120",1 to 200000,9001 to 12000,Less than 100k,Rented,Less than 136,4 to 8,Less than 2000,5001 to 10000,General Store,No,3.3
51 to 100,1 to 50,"48,050",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,3.8
1 to 50,101 to 200,"319,671",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Kiryana,No,4.2
1 to 50,51 to 100,"140,779",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"43,617",1 to 200000,6001 to 9000,100k - 300k,Rented,545+,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.8
1 to 50,101 to 200,"363,912",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,4.1
1 to 50,201 to 300,"402,311",200001 to 500000,3001 to 6000,Less than 100k,Rented,136 - 271,4 to 8,Less than 2000,5001 to 10000,Super Store,No,3.3
51 to 100,101 to 200,"349,020",200001 to 500000,3001 to 6000,100k - 300k,Owned,409 - 544,4 to 8,2000 - 5000,0,General Store,No,4.4
51 to 100,101 to 200,"207,889",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,20000 to 25000,Super Store,No,3.1
51 to 100,51 to 100,"378,984",200001 to 500000,6001 to 9000,Less than 100k,Rented,136 - 271,4 to 8,More than 5000,20000 to 25000,General Store,No,3.2
1 to 50,1 to 50,"95,772",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,10001 to 15000,Kiryana,No,3
51 to 100,1 to 50,"137,700",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,3.9
1 to 50,1 to 50,"47,011",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.7
51 to 100,201 to 300,"549,508",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.4
51 to 100,101 to 200,"365,270",200001 to 500000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.6
1 to 50,101 to 200,"511,482",200001 to 500000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,2000 - 5000,25000+,Super Store,No,2.7
1 to 50,1 to 50,"24,813",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,4.3
1 to 50,101 to 200,"514,155",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,4.4
1 to 50,1 to 50,"16,951",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,4 to 8,2000 - 5000,10001 to 15000,General Store,No,2.6
51 to 100,101 to 200,"237,129",200001 to 500000,3001 to 6000,100k - 300k,Rented,409 - 544,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.9
51 to 100,101 to 200,"443,658",200001 to 500000,6001 to 9000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,10001 to 15000,General Store,No,3.9
1 to 50,1 to 50,"5,362",1 to 200000,3001 to 6000,100k - 300k,Rented,545+,4 to 8,More than 5000,25000+,General Store,No,3
201 to 300,1 to 50,"28,365",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,4.2
1 to 50,101 to 200,"185,530",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"20,077",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,20000 to 25000,Kiryana,No,2.6
51 to 100,101 to 200,"418,458",200001 to 500000,3001 to 6000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,25000+,Super Store,No,3.4
51 to 100,201 to 300,"911,129",500001 to 1000000,9001 to 12000,100k - 300k ,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.9
1 to 50,1 to 50,"16,153",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.6
51 to 100,1000+,"2,698,415",2000001 to 3000000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,6.8
51 to 100,1 to 50,"19,538",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,1 to 50,"10,367",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
101 to 200,101 to 200,"353,429",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.7
1 to 50,101 to 200,"461,971",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.2
1 to 50,1 to 50,"97,788",1 to 200000,3001 to 6000,100k - 300k,Rented,545+,4 to 8,2000 - 5000,10001 to 15000,Kiryana,No,3.3
 ,101 to 200,"422,155",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.9
1 to 50,201 to 300,"771,401",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,5.5
1 to 50,1 to 50,"4,578",1 to 200000,1 to 3000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,301 to 400,"1,086,818",1000001 to 2000000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,5.5
1 to 50,1 to 50,"16,242",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Bakery,No,3.5
101 to 200,101 to 200,"287,286",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,General Store,No,3.8
1 to 50, , , , ,100k - 300k,Owned,545+,4 to 8,2000 - 5000,0,Kiryana,No,3.5
1 to 50,51 to 100,"126,124",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,Less than 2000,0,Kiryana,No,3.7
1 to 50,1 to 50,"21,225",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,3
51 to 100,1 to 50,"17,627",1 to 200000,1 to 3000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.9
1 to 50,101 to 200,"241,974",200001 to 500000,3001 to 6000,Less than 100k,Rented,272 - 408,4 to 8,More than 5000,25000+,General Store,No,2.9
51 to 100,301 to 400,"883,028",500001 to 1000000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.8
51 to 100,51 to 100,"80,870",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.9
1 to 50,51 to 100,"156,062",1 to 200000,6001 to 9000,100k - 300k,Rented,409 - 544,4 to 8,More than 5000,10001 to 15000,Super Store,No,3.7
101 to 200,101 to 200,"162,463",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.2
1 to 50,201 to 300,"704,718",500001 to 1000000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.9
51 to 100,51 to 100,"69,057",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,Less than 2000,1 to 5000,Kiryana,No,3.3
1 to 50,201 to 300,"869,296",500001 to 1000000,6001 to 9000,100k - 300k ,Owned,272 - 408,4 to 8,More than 5000,0,Kiryana,No,4.5
1 to 50,101 to 200,"324,876",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.1
51 to 100,1 to 50,"80,615",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.7
51 to 100,501 to 1000,"1,015,224",500001 to 1000000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.5
51 to 100,101 to 200,"170,119",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.9
1 to 50,301 to 400,"510,911",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4.2
